subcatchment,region,subcat_area,grid_index,grid_weight,x,y
SC #150,BM,136982700.0,124813,0.021561480504565068,151.85000000000008,-26.89999999999995
SC #150,BM,136982700.0,124814,0.008309743607418135,151.9000000000001,-26.89999999999995
SC #150,BM,136982700.0,125603,0.10123237534309609,151.85000000000008,-26.849999999999937
SC #150,BM,136982700.0,125604,0.1014276322000238,151.9000000000001,-26.84999999999994
SC #150,BM,136982700.0,126394,0.0178867992321555,151.85000000000008,-26.799999999999955
SC #150,BM,136982700.0,126395,0.19029914368243578,151.9000000000001,-26.79999999999995
SC #150,BM,136982700.0,126396,0.03746488021326174,151.95000000000005,-26.79999999999995
SC #150,BM,136982700.0,127185,0.0011539035638211887,151.85000000000008,-26.749999999999968
SC #150,BM,136982700.0,127186,0.17997829916282063,151.9000000000001,-26.74999999999997
SC #150,BM,136982700.0,127187,0.09525087736964877,151.95000000000005,-26.74999999999997
SC #150,BM,136982700.0,127978,0.09055827535748863,151.9000000000001,-26.69999999999996
SC #150,BM,136982700.0,127979,0.08603684519231525,151.95000000000005,-26.69999999999996
SC #150,BM,136982700.0,128771,0.017174428560037456,151.9000000000001,-26.64999999999995
SC #150,BM,136982700.0,128772,0.051665316010912024,151.95000000000005,-26.64999999999995
SC #513,BM,111778200.0,127991,0.0170530369037874,152.55000000000004,-26.69999999999996
SC #513,BM,111778200.0,128783,0.03974440289489641,152.50000000000009,-26.649999999999952
SC #513,BM,111778200.0,128784,0.22849940929425513,152.55000000000004,-26.64999999999995
SC #513,BM,111778200.0,128785,0.2016462782440424,152.6000000000001,-26.649999999999952
SC #513,BM,111778200.0,128786,0.02805722642698691,152.6500000000001,-26.64999999999995
SC #513,BM,111778200.0,129577,0.09371894509098738,152.55000000000004,-26.599999999999937
SC #513,BM,111778200.0,129578,0.20651373538836948,152.6000000000001,-26.599999999999937
SC #513,BM,111778200.0,129579,0.17104475458160373,152.6500000000001,-26.599999999999937
SC #513,BM,111778200.0,129580,0.013722211175071058,152.70000000000005,-26.599999999999937
SC #584,BM,15225300.0,129580,0.6290780400722287,152.70000000000005,-26.599999999999937
SC #584,BM,15225300.0,129581,0.37092195992777127,152.75000000000006,-26.599999999999937
SC #510,BM,34709400.0,127995,0.13553683195078506,152.75000000000006,-26.69999999999996
SC #510,BM,34709400.0,127996,0.024478447380380536,152.80000000000007,-26.69999999999996
SC #510,BM,34709400.0,128787,0.09043606216079116,152.70000000000005,-26.64999999999995
SC #510,BM,34709400.0,128788,0.33628905242518176,152.75000000000006,-26.649999999999952
SC #510,BM,34709400.0,129580,0.24323609664234322,152.70000000000005,-26.599999999999937
SC #510,BM,34709400.0,129581,0.1700235094405183,152.75000000000006,-26.599999999999937
SC #640,BM,5077800.0,128787,0.21920902066048958,152.70000000000005,-26.64999999999995
SC #640,BM,5077800.0,129580,0.7807909793395104,152.70000000000005,-26.599999999999937
SC #509,BM,78505200.0,127995,0.0012951169145331263,152.75000000000006,-26.69999999999996
SC #509,BM,78505200.0,127996,0.07553597870796597,152.80000000000007,-26.69999999999996
SC #509,BM,78505200.0,127997,2.5187670749200126e-06,152.85000000000008,-26.69999999999996
SC #509,BM,78505200.0,128788,0.1734587450940348,152.75000000000006,-26.649999999999952
SC #509,BM,78505200.0,128789,0.32719948280950373,152.80000000000007,-26.64999999999995
SC #509,BM,78505200.0,128790,0.06148422322511872,152.85000000000008,-26.649999999999952
SC #509,BM,78505200.0,129581,0.15694284468342995,152.75000000000006,-26.599999999999937
SC #509,BM,78505200.0,129582,0.18562151068890181,152.80000000000007,-26.599999999999937
SC #509,BM,78505200.0,129583,0.018459579109436932,152.85000000000008,-26.599999999999937
SC #155,BM,700200.0,127184,0.2089719732496746,151.80000000000007,-26.74999999999997
SC #155,BM,700200.0,127185,0.7910280267503255,151.85000000000008,-26.749999999999968
SC #512,BM,1998000.0,128786,0.00130827605591911,152.6500000000001,-26.64999999999995
SC #512,BM,1998000.0,128787,0.4056915342668655,152.70000000000005,-26.64999999999995
SC #512,BM,1998000.0,129579,0.0001068996212260791,152.6500000000001,-26.599999999999937
SC #512,BM,1998000.0,129580,0.5928932900559892,152.70000000000005,-26.599999999999937
SC #154,BM,67673700.0,124021,0.00022301732382684449,151.70000000000005,-26.94999999999996
SC #154,BM,67673700.0,124809,0.009719980935922638,151.6500000000001,-26.89999999999995
SC #154,BM,67673700.0,124810,0.19674715294449138,151.70000000000005,-26.89999999999995
SC #154,BM,67673700.0,124811,0.10883023780215104,151.75000000000006,-26.89999999999995
SC #154,BM,67673700.0,125601,0.1621911319220723,151.75000000000006,-26.849999999999937
SC #154,BM,67673700.0,125602,0.06786126539705865,151.80000000000007,-26.84999999999994
SC #154,BM,67673700.0,126392,0.026556454982773203,151.75000000000003,-26.799999999999955
SC #154,BM,67673700.0,126393,0.27578090362317914,151.80000000000007,-26.79999999999995
SC #154,BM,67673700.0,127184,0.12423236421136981,151.80000000000007,-26.74999999999997
SC #154,BM,67673700.0,127185,0.027857490857155085,151.85000000000008,-26.749999999999968
SC #152,BM,310500.0,127185,1.0,151.85000000000008,-26.749999999999968
SC #153,BM,175575600.0,124021,0.033413781841670695,151.70000000000005,-26.94999999999996
SC #153,BM,175575600.0,124022,0.06549398044143939,151.75000000000006,-26.94999999999996
SC #153,BM,175575600.0,124023,0.028252460230051384,151.80000000000007,-26.94999999999996
SC #153,BM,175575600.0,124810,0.019685884537154016,151.70000000000005,-26.89999999999995
SC #153,BM,175575600.0,124811,0.1132625788357936,151.75000000000006,-26.89999999999995
SC #153,BM,175575600.0,124812,0.15620396910930898,151.80000000000007,-26.89999999999995
SC #153,BM,175575600.0,124813,0.05580013906766058,151.85000000000008,-26.89999999999995
SC #153,BM,175575600.0,125601,0.009048405888370189,151.75000000000006,-26.849999999999937
SC #153,BM,175575600.0,125602,0.13064375062382327,151.80000000000007,-26.84999999999994
SC #153,BM,175575600.0,125603,0.07781943343090633,151.85000000000008,-26.849999999999937
SC #153,BM,175575600.0,126393,0.046824255437060376,151.80000000000007,-26.79999999999995
SC #153,BM,175575600.0,126394,0.14291272716850428,151.85000000000008,-26.799999999999955
SC #153,BM,175575600.0,126395,0.006960306788922658,151.9000000000001,-26.79999999999995
SC #153,BM,175575600.0,127184,0.009724989713814424,151.80000000000007,-26.74999999999997
SC #153,BM,175575600.0,127185,0.0959523627867578,151.85000000000008,-26.749999999999968
SC #153,BM,175575600.0,127186,0.008000974098762012,151.9000000000001,-26.74999999999997
SC #514,BM,61735500.0,127200,0.033953325851419046,152.6000000000001,-26.749999999999968
SC #514,BM,61735500.0,127991,0.07878941617397381,152.55000000000004,-26.69999999999996
SC #514,BM,61735500.0,127992,0.41629062827168917,152.6000000000001,-26.69999999999996
SC #514,BM,61735500.0,127993,0.09539078258994997,152.6500000000001,-26.69999999999996
SC #514,BM,61735500.0,128784,5.130877398069698e-05,152.55000000000004,-26.64999999999995
SC #514,BM,61735500.0,128785,0.08160722430017572,152.6000000000001,-26.649999999999952
SC #514,BM,61735500.0,128786,0.2855763156158628,152.6500000000001,-26.64999999999995
SC #514,BM,61735500.0,128787,0.004933744137325793,152.70000000000005,-26.64999999999995
SC #514,BM,61735500.0,129579,0.003159395757704135,152.6500000000001,-26.599999999999937
SC #514,BM,61735500.0,129580,0.0002478585279189079,152.70000000000005,-26.599999999999937
SC #571,BM,15836400.0,126392,0.3955601111395074,151.75000000000003,-26.799999999999955
SC #571,BM,15836400.0,126393,0.04154094320141487,151.80000000000007,-26.79999999999995
SC #571,BM,15836400.0,127183,0.35108377596705304,151.75000000000006,-26.749999999999968
SC #571,BM,15836400.0,127184,0.21181516969202469,151.80000000000007,-26.74999999999997
SC #511,BM,306540900.0,125619,0.001420084503814556,152.6500000000001,-26.84999999999994
SC #511,BM,306540900.0,125620,0.03305289431576699,152.70000000000005,-26.84999999999994
SC #511,BM,306540900.0,125621,0.01916589080636101,152.75000000000006,-26.849999999999937
SC #511,BM,306540900.0,126410,0.004069000345023933,152.6500000000001,-26.79999999999995
SC #511,BM,306540900.0,126411,0.08500284272113007,152.70000000000005,-26.79999999999995
SC #511,BM,306540900.0,126412,0.08505776254376984,152.75000000000006,-26.799999999999955
SC #511,BM,306540900.0,126413,0.024000650508213504,152.80000000000007,-26.79999999999995
SC #511,BM,306540900.0,127200,0.03697093198659152,152.6000000000001,-26.749999999999968
SC #511,BM,306540900.0,127201,0.07708294607245457,152.6500000000001,-26.74999999999997
SC #511,BM,306540900.0,127202,0.08988699733967405,152.70000000000005,-26.74999999999997
SC #511,BM,306540900.0,127203,0.08988699733991685,152.75000000000006,-26.749999999999968
SC #511,BM,306540900.0,127204,0.06498536087134445,152.80000000000007,-26.74999999999997
SC #511,BM,306540900.0,127992,0.004008661447218472,152.6000000000001,-26.69999999999996
SC #511,BM,306540900.0,127993,0.07071452364234938,152.6500000000001,-26.69999999999996
SC #511,BM,306540900.0,127994,0.08992565552908638,152.70000000000005,-26.69999999999996
SC #511,BM,306540900.0,127995,0.07424724025974093,152.75000000000006,-26.69999999999996
SC #511,BM,306540900.0,127996,0.048390476645426846,152.80000000000007,-26.69999999999996
SC #511,BM,306540900.0,128786,0.022211469918907954,152.6500000000001,-26.64999999999995
SC #511,BM,306540900.0,128787,0.07245519585410139,152.70000000000005,-26.64999999999995
SC #511,BM,306540900.0,128788,0.00746365689861243,152.75000000000006,-26.649999999999952
SC #511,BM,306540900.0,129580,7.604504948818934e-07,152.70000000000005,-26.599999999999937
SC #157,BM,142500600.0,124807,3.811828236398666e-07,151.55000000000007,-26.89999999999995
SC #157,BM,142500600.0,124808,0.04864867392133226,151.60000000000005,-26.89999999999995
SC #157,BM,142500600.0,124809,0.027913204115886363,151.6500000000001,-26.89999999999995
SC #157,BM,142500600.0,125597,0.027928463300885113,151.55000000000007,-26.84999999999994
SC #157,BM,142500600.0,125598,0.1931941186086828,151.60000000000005,-26.849999999999937
SC #157,BM,142500600.0,125599,0.16985286428757995,151.6500000000001,-26.84999999999994
SC #157,BM,142500600.0,125600,0.024524235623216054,151.70000000000005,-26.84999999999994
SC #157,BM,142500600.0,126388,0.00025524157173353,151.55000000000007,-26.79999999999995
SC #157,BM,142500600.0,126389,0.09493187138178229,151.60000000000008,-26.799999999999955
SC #157,BM,142500600.0,126390,0.17547960034362176,151.65000000000012,-26.79999999999995
SC #157,BM,142500600.0,126391,0.17678399680930976,151.70000000000005,-26.79999999999995
SC #157,BM,142500600.0,126392,0.04861268160773814,151.75000000000003,-26.799999999999955
SC #157,BM,142500600.0,127181,0.00020942410210233816,151.6500000000001,-26.74999999999997
